feature,mean_abs_shap
room_type_Entire home/apt,50.14683680932416
availability_365,26.047567110861866
longitude,24.48376316523862
latitude,13.88119776129892
minimum_nights,13.832752578459305
number_of_reviews,13.666334532065237
room_type_Private room,8.061305425514714
neighbourhood_group_Manhattan,6.513474524920442
calculated_host_listings_count,6.164824897217868
days_since_last_review,4.512242222965105
last_review_month,3.310790787096027
has_review,3.2713196254761807
reviews_per_month,2.9900701692165867
neighbourhood_Williamsburg,2.2092961277875944
neighbourhood_Midtown,2.183428553994553
neighbourhood_Upper West Side,1.8849518723308454
neighbourhood_Tribeca,1.6537418953575485
room_type_Shared room,1.4781812054242423
neighbourhood_Upper East Side,0.8509562510143748
last_review_year,0.7682214161287025
neighbourhood_Theater District,0.6029141930187435
neighbourhood_group_Brooklyn,0.48049828497258223
neighbourhood_Clinton Hill,0.4665773341751742
neighbourhood_Greenwich Village,0.4565226896702107
neighbourhood_Flatiron District,0.41478474574007196
neighbourhood_Chelsea,0.3776852313732395
neighbourhood_Chinatown,0.3600425739649942
neighbourhood_Astoria,0.3581263517942742
neighbourhood_Prospect Heights,0.3519341986310999
neighbourhood_Lower East Side,0.33957693701625025
neighbourhood_West Village,0.31084121300165973
neighbourhood_SoHo,0.29850451401389716
neighbourhood_East Flatbush,0.219113859525536
neighbourhood_East Harlem,0.19623769892169207
neighbourhood_Cobble Hill,0.19406355342049175
neighbourhood_East Village,0.17703600518207505
neighbourhood_Bedford-Stuyvesant,0.17417217964134715
neighbourhood_Murray Hill,0.17031204835501187
neighbourhood_Harlem,0.17020347157370458
neighbourhood_Park Slope,0.15435615225928287
neighbourhood_Battery Park City,0.14352034564948468
neighbourhood_Nolita,0.1162737637516356
neighbourhood_Morningside Heights,0.11585974414212663
neighbourhood_Cypress Hills,0.10514828535247013
neighbourhood_Brooklyn Heights,0.1047566432253648
neighbourhood_Hell's Kitchen,0.09944449377595947
neighbourhood_Kips Bay,0.09169382572570925
neighbourhood_Gramercy,0.08663287122198102
neighbourhood_Little Italy,0.08410673566627565
neighbourhood_Two Bridges,0.08246201724009654
neighbourhood_group_Queens,0.08207231193097256
neighbourhood_Bay Ridge,0.07040308356331432
neighbourhood_Gravesend,0.06007945020167467
neighbourhood_Crown Heights,0.050407481329001816
neighbourhood_Long Island City,0.046813570867487886
neighbourhood_Financial District,0.04363606756403828
neighbourhood_Bushwick,0.04058253491050513
neighbourhood_Brighton Beach,0.0402882269392379
neighbourhood_Bensonhurst,0.02717072879352845
neighbourhood_St. George,0.024611955575637345
neighbourhood_Arverne,0.023054377236896854
neighbourhood_Midwood,0.022998419942355682
neighbourhood_Windsor Terrace,0.016924966312421096
neighbourhood_Far Rockaway,0.016823418370595433
neighbourhood_Gowanus,0.013133191646490128
neighbourhood_group_Staten Island,0.013000498127241538
neighbourhood_Borough Park,0.011878907163501996
neighbourhood_Sunset Park,0.005153932258301948
neighbourhood_Rockaway Beach,0.004235031961060057
neighbourhood_NoHo,0.003656514756382131
neighbourhood_Flatlands,0.0031540031711256846
neighbourhood_Woodside,0.0029840897517954506
neighbourhood_Forest Hills,0.0025803040386175834
neighbourhood_Greenpoint,0.002045801075466797
neighbourhood_Flatbush,0.0013115452677454496
neighbourhood_Canarsie,0.0
neighbourhood_Cambria Heights,0.0
neighbourhood_Bull's Head,0.0
neighbourhood_Carroll Gardens,0.0
neighbourhood_East Morrisania,0.0
neighbourhood_East Elmhurst,0.0
neighbourhood_Downtown Brooklyn,0.0
neighbourhood_Brownsville,0.0
neighbourhood_Bronxdale,0.0
neighbourhood_Boerum Hill,0.0
neighbourhood_Breezy Point,0.0
neighbourhood_Briarwood,0.0
neighbourhood_Bellerose,0.0
neighbourhood_Belmont,0.0
neighbourhood_Bergen Beach,0.0
neighbourhood_Bay Terrace,0.0
neighbourhood_Baychester,0.0
neighbourhood_Bayside,0.0
neighbourhood_Bayswater,0.0
neighbourhood_Belle Harbor,0.0
neighbourhood_Arden Heights,0.0
neighbourhood_Arrochar,0.0
neighbourhood_Allerton,0.0
neighbourhood_Bath Beach,0.0
"neighbourhood_Bay Terrace, Staten Island",0.0
neighbourhood_Concord,0.0
neighbourhood_College Point,0.0
neighbourhood_Columbia St,0.0
neighbourhood_Claremont Village,0.0
neighbourhood_Civic Center,0.0
neighbourhood_Clifton,0.0
neighbourhood_Clason Point,0.0
neighbourhood_Castleton Corners,0.0
neighbourhood_City Island,0.0
neighbourhood_Castle Hill,0.0
neighbourhood_group_Bronx,0.0
neighbourhood_Grymes Hill,0.0
neighbourhood_Graniteville,0.0
neighbourhood_Grant City,0.0
neighbourhood_Great Kills,0.0
neighbourhood_Fort Wadsworth,0.0
neighbourhood_Fort Hamilton,0.0
neighbourhood_Glendale,0.0
neighbourhood_Fresh Meadows,0.0
neighbourhood_Fort Greene,0.0
neighbourhood_Eltingville,0.0
neighbourhood_Elmhurst,0.0
neighbourhood_Edgemere,0.0
neighbourhood_Edenwald,0.0
neighbourhood_Fieldston,0.0
neighbourhood_Flushing,0.0
neighbourhood_Fordham,0.0
neighbourhood_East New York,0.0
neighbourhood_Eastchester,0.0
neighbourhood_Emerson Hill,0.0
neighbourhood_Co-op City,0.0
neighbourhood_Corona,0.0
neighbourhood_Coney Island,0.0
neighbourhood_Concourse,0.0
neighbourhood_Concourse Village,0.0
neighbourhood_Ditmars Steinway,0.0
neighbourhood_DUMBO,0.0
neighbourhood_Dongan Hills,0.0
neighbourhood_Douglaston,0.0
neighbourhood_Dyker Heights,0.0
neighbourhood_Highbridge,0.0
neighbourhood_Hollis,0.0
neighbourhood_Holliswood,0.0
neighbourhood_Midland Beach,0.0
neighbourhood_Middle Village,0.0
neighbourhood_Melrose,0.0
neighbourhood_Maspeth,0.0
neighbourhood_Mariners Harbor,0.0
neighbourhood_Marble Hill,0.0
neighbourhood_Manhattan Beach,0.0
neighbourhood_Longwood,0.0
neighbourhood_Mott Haven,0.0
neighbourhood_Mount Eden,0.0
neighbourhood_Mount Hope,0.0
neighbourhood_Navy Yard,0.0
neighbourhood_Morris Heights,0.0
neighbourhood_Morris Park,0.0
neighbourhood_Morrisania,0.0
neighbourhood_Mill Basin,0.0
neighbourhood_Kew Gardens Hills,0.0
neighbourhood_Kew Gardens,0.0
neighbourhood_Kensington,0.0
neighbourhood_Jamaica Hills,0.0
neighbourhood_Lighthouse Hill,0.0
neighbourhood_Laurelton,0.0
neighbourhood_Little Neck,0.0
neighbourhood_Kingsbridge,0.0
neighbourhood_Inwood,0.0
neighbourhood_Jackson Heights,0.0
neighbourhood_Jamaica,0.0
neighbourhood_Jamaica Estates,0.0
neighbourhood_Howard Beach,0.0
