feature,mean_abs_shap
last_review_year,69.74848804443168
days_since_last_review,67.91661685245104
room_type_Entire home/apt,39.09644683452838
neighbourhood_group_Manhattan,29.92416001217606
availability_365,24.600974333624453
longitude,21.63720450606027
neighbourhood_group_Queens,14.144034488395144
has_review,13.92549028307522
room_type_Private room,10.883687076272693
last_review_month,10.138451702936395
neighbourhood_Williamsburg,5.747153751971927
number_of_reviews,5.566181386298471
latitude,5.10966405111107
neighbourhood_group_Brooklyn,4.615664514674104
neighbourhood_Midtown,3.9783851724350887
neighbourhood_Harlem,3.7511626052009386
calculated_host_listings_count,3.0150886805640513
neighbourhood_group_Staten Island,2.547943884823424
room_type_Shared room,2.0999678500217533
neighbourhood_Tribeca,1.9108162575467427
reviews_per_month,1.8891546946673357
neighbourhood_Ridgewood,1.8322553636298544
neighbourhood_Chinatown,1.8272835320669762
neighbourhood_Astoria,1.641127563851127
neighbourhood_East Village,1.5644243899596342
neighbourhood_Fort Hamilton,1.5206001234557418
neighbourhood_East Harlem,1.2392623255628485
neighbourhood_group_Bronx,1.1422443395606852
neighbourhood_Washington Heights,1.0992977131239727
neighbourhood_Hell's Kitchen,1.094715056666209
neighbourhood_Bushwick,1.0511273521520115
neighbourhood_Long Island City,1.0378229696946888
minimum_nights,1.0339619561280609
neighbourhood_Gravesend,0.9789759449208093
neighbourhood_Inwood,0.9484423821259658
neighbourhood_Financial District,0.9396916539011244
neighbourhood_Greenpoint,0.7838853807506594
neighbourhood_Bedford-Stuyvesant,0.7494641854504462
neighbourhood_Upper West Side,0.720686979695822
neighbourhood_Lower East Side,0.6923097695469086
neighbourhood_Flatiron District,0.6880516209709712
neighbourhood_Upper East Side,0.6855125712653727
neighbourhood_Flatbush,0.6758636037140012
neighbourhood_Kensington,0.6160720642050891
neighbourhood_Woodhaven,0.5646862896340397
neighbourhood_Richmond Hill,0.556570510431781
neighbourhood_Morningside Heights,0.5549688856195003
neighbourhood_Theater District,0.5478794413231864
neighbourhood_Bayside,0.5336911829776906
neighbourhood_Sunset Park,0.5177264701803472
neighbourhood_SoHo,0.50606277957942
neighbourhood_Chelsea,0.4899754610723178
neighbourhood_Flushing,0.44705011006754886
neighbourhood_Fresh Meadows,0.4072594447972255
neighbourhood_Prospect Heights,0.405379787637602
neighbourhood_Sunnyside,0.3832132385191326
neighbourhood_Throgs Neck,0.36083995872505903
neighbourhood_Queens Village,0.35644560252646096
neighbourhood_Park Slope,0.3220285742433759
neighbourhood_Hollis,0.3052227073655853
neighbourhood_Kips Bay,0.29827253507590096
neighbourhood_Two Bridges,0.2850017627975817
neighbourhood_Windsor Terrace,0.26487318204825394
neighbourhood_Clinton Hill,0.23892683697955325
neighbourhood_West Village,0.1967117900555225
neighbourhood_Murray Hill,0.19559170424275385
neighbourhood_Rego Park,0.18046242015855427
neighbourhood_Brooklyn Heights,0.16880028037294922
neighbourhood_Kingsbridge,0.1647517046949924
neighbourhood_Bensonhurst,0.1629877589379797
neighbourhood_South Slope,0.14323527029409228
neighbourhood_St. Albans,0.12990425548488743
neighbourhood_Greenwich Village,0.12739696349270263
neighbourhood_Glendale,0.12710873127453443
neighbourhood_Jamaica Estates,0.12430945156011042
neighbourhood_Sheepshead Bay,0.12415578081440748
neighbourhood_Cobble Hill,0.117357256973915
neighbourhood_Gowanus,0.1131179285617732
neighbourhood_East Flatbush,0.11211310612863662
neighbourhood_NoHo,0.11050679730613391
neighbourhood_East Elmhurst,0.11049878645066878
neighbourhood_Prospect-Lefferts Gardens,0.1062389315481488
neighbourhood_Midwood,0.09821914325960077
neighbourhood_Eastchester,0.09422693478739853
neighbourhood_Stuyvesant Town,0.08477480548969538
neighbourhood_Concourse,0.0795705996002999
neighbourhood_Jackson Heights,0.07735156479760508
neighbourhood_Fort Greene,0.07488127685545123
neighbourhood_Roosevelt Island,0.06510660497519834
neighbourhood_Highbridge,0.06451495437932872
neighbourhood_Elmhurst,0.06400137218296194
neighbourhood_Claremont Village,0.06110317784099388
neighbourhood_Springfield Gardens,0.05926020203366113
neighbourhood_Boerum Hill,0.058855820972938476
neighbourhood_Gramercy,0.05647868461574859
neighbourhood_Bronxdale,0.046070186862244664
neighbourhood_Carroll Gardens,0.04453577144606145
neighbourhood_Dongan Hills,0.04210616089338887
neighbourhood_Nolita,0.038206061895627384
neighbourhood_Kew Gardens,0.029944911603959214
neighbourhood_Briarwood,0.02618932464189813
neighbourhood_Fordham,0.022182472801405465
neighbourhood_Canarsie,0.02122676000882549
neighbourhood_Rockaway Beach,0.020577241149887474
neighbourhood_Jamaica,0.019229471426445592
neighbourhood_Concord,0.018636546691336547
neighbourhood_Oakwood,0.01831885993984705
neighbourhood_Norwood,0.017724354221314555
neighbourhood_Forest Hills,0.016612951684287593
neighbourhood_East New York,0.012121444980857318
neighbourhood_Kew Gardens Hills,0.01188010938309459
neighbourhood_Crown Heights,0.0014386884701638356
neighbourhood_Tompkinsville,0.0006540017658602462
neighbourhood_Grant City,0.0
neighbourhood_Great Kills,0.0
neighbourhood_Grymes Hill,0.0
neighbourhood_Graniteville,0.0
neighbourhood_Far Rockaway,0.0
neighbourhood_Flatlands,0.0
neighbourhood_Emerson Hill,0.0
neighbourhood_Eltingville,0.0
neighbourhood_Edgemere,0.0
neighbourhood_Edenwald,0.0
neighbourhood_Dyker Heights,0.0
neighbourhood_City Island,0.0
neighbourhood_Civic Center,0.0
neighbourhood_Castleton Corners,0.0
neighbourhood_Columbia St,0.0
neighbourhood_College Point,0.0
neighbourhood_Clifton,0.0
neighbourhood_Co-op City,0.0
neighbourhood_Fort Wadsworth,0.0
neighbourhood_Fieldston,0.0
neighbourhood_Coney Island,0.0
neighbourhood_Concourse Village,0.0
neighbourhood_Ditmars Steinway,0.0
neighbourhood_DUMBO,0.0
neighbourhood_Cypress Hills,0.0
neighbourhood_Corona,0.0
neighbourhood_Douglaston,0.0
neighbourhood_Downtown Brooklyn,0.0
neighbourhood_East Morrisania,0.0
neighbourhood_Cambria Heights,0.0
neighbourhood_Belle Harbor,0.0
neighbourhood_Bayswater,0.0
"neighbourhood_Bay Terrace, Staten Island",0.0
neighbourhood_Baychester,0.0
neighbourhood_Bay Terrace,0.0
neighbourhood_Bay Ridge,0.0
neighbourhood_Bath Beach,0.0
neighbourhood_Bellerose,0.0
neighbourhood_Breezy Point,0.0
neighbourhood_Borough Park,0.0
neighbourhood_Belmont,0.0
neighbourhood_Battery Park City,0.0
neighbourhood_Arrochar,0.0
neighbourhood_Arverne,0.0
neighbourhood_Arden Heights,0.0
neighbourhood_Allerton,0.0
neighbourhood_Brownsville,0.0
neighbourhood_Brighton Beach,0.0
neighbourhood_Bull's Head,0.0
neighbourhood_Bergen Beach,0.0
neighbourhood_Clason Point,0.0
neighbourhood_Castle Hill,0.0
neighbourhood_Midland Beach,0.0
neighbourhood_Middle Village,0.0
neighbourhood_Jamaica Hills,0.0
neighbourhood_Howland Hook,0.0
neighbourhood_Huguenot,0.0
neighbourhood_Holliswood,0.0
neighbourhood_Lighthouse Hill,0.0
neighbourhood_Little Italy,0.0
neighbourhood_Hunts Point,0.0
neighbourhood_Howard Beach,0.0
neighbourhood_Prince's Bay,0.0
neighbourhood_Port Richmond,0.0
neighbourhood_Port Morris,0.0
neighbourhood_Pelham Gardens,0.0
neighbourhood_Parkchester,0.0
neighbourhood_Pelham Bay,0.0
neighbourhood_Olinville,0.0
neighbourhood_Ozone Park,0.0
neighbourhood_New Springville,0.0
neighbourhood_North Riverdale,0.0
neighbourhood_Mount Hope,0.0
neighbourhood_Navy Yard,0.0
neighbourhood_Neponsit,0.0
neighbourhood_New Brighton,0.0
neighbourhood_New Dorp,0.0
neighbourhood_New Dorp Beach,0.0
neighbourhood_Mill Basin,0.0
neighbourhood_Morrisania,0.0
neighbourhood_Morris Park,0.0
neighbourhood_Morris Heights,0.0
neighbourhood_Mount Eden,0.0
neighbourhood_Mott Haven,0.0
neighbourhood_Little Neck,0.0
neighbourhood_Laurelton,0.0
neighbourhood_Longwood,0.0
neighbourhood_Manhattan Beach,0.0
neighbourhood_Marble Hill,0.0
neighbourhood_Mariners Harbor,0.0
neighbourhood_Maspeth,0.0
neighbourhood_Melrose,0.0
neighbourhood_Sea Gate,0.0
neighbourhood_Randall Manor,0.0
neighbourhood_Stapleton,0.0
neighbourhood_St. George,0.0
neighbourhood_Spuyten Duyvil,0.0
neighbourhood_Shore Acres,0.0
neighbourhood_Silver Lake,0.0
neighbourhood_Soundview,0.0
neighbourhood_South Beach,0.0
neighbourhood_South Ozone Park,0.0
neighbourhood_Richmondtown,0.0
neighbourhood_Red Hook,0.0
neighbourhood_Riverdale,0.0
neighbourhood_Rosebank,0.0
neighbourhood_Rosedale,0.0
neighbourhood_Rossville,0.0
neighbourhood_Schuylerville,0.0
neighbourhood_Tottenville,0.0
neighbourhood_Wakefield,0.0
neighbourhood_Vinegar Hill,0.0
neighbourhood_Van Nest,0.0
neighbourhood_Unionport,0.0
neighbourhood_University Heights,0.0
neighbourhood_Todt Hill,0.0
neighbourhood_Tremont,0.0
neighbourhood_West Farms,0.0
neighbourhood_Williamsbridge,0.0
neighbourhood_Whitestone,0.0
neighbourhood_Westerleigh,0.0
neighbourhood_Westchester Square,0.0
neighbourhood_West Brighton,0.0
neighbourhood_Willowbrook,0.0
neighbourhood_Woodlawn,0.0
neighbourhood_Woodside,0.0
